category;from;to;metric
access;List;Map;0.11
access;List;Set;1.0
access;Map;List;0.03
access;Map;Set;1.0
deletion;List;Map;0.2
deletion;List;Set;0.17
deletion;Map;List;0.0
deletion;Map;Set;0.0
deletion;Set;List;0.0
deletion;Set;Map;0.1
insertion;List;Map;1.0
insertion;List;Set;0.12
insertion;Map;List;1.0
insertion;Map;Set;1.0
insertion;Set;List;0.0
insertion;Set;Map;1.0
other;List;Map;0.47
other;List;Set;0.04
other;Map;List;0.9
other;Map;Set;0.9
other;Set;List;0.02
other;Set;Map;0.77
search;List;Map;1.0
search;List;Set;0.32
search;Map;List;1.0
search;Map;Set;1.0
search;Set;List;0.13
search;Set;Map;1.0
