project,interface,category,method,count
jfreechart,java.util.List,insertion,add,240
jfreechart,java.util.List,insertion,set,6
jfreechart,java.util.List,insertion,push,4
jfreechart,java.util.List,insertion,addAll,15
jfreechart,java.util.List,deletion,remove,88
jfreechart,java.util.List,deletion,clear,58
jfreechart,java.util.List,access,subList,2
jfreechart,java.util.List,deletion,pop,2
jfreechart,java.util.List,other,size,225
jfreechart,java.util.List,other,equals,28
jfreechart,java.util.List,other,iterator,148
jfreechart,java.util.List,other,toArray,5
jfreechart,java.util.List,other,listIterator,3
jfreechart,java.util.List,other,isEmpty,12
jfreechart,java.util.List,access,get,318
jfreechart,java.util.List,access,peek,1
jfreechart,java.util.List,search,indexOf,21
jfreechart,java.util.List,search,contains,24
jfreechart,java.util.Map,other,size,12
jfreechart,java.util.Map,other,values,1
jfreechart,java.util.Map,other,equals,3
jfreechart,java.util.Map,other,keySet,17
jfreechart,java.util.Map,other,entrySet,5
jfreechart,java.util.Map,access,get,74
jfreechart,java.util.Map,insertion,put,56
jfreechart,java.util.Map,insertion,putAll,4
jfreechart,java.util.Map,deletion,clear,13
jfreechart,java.util.Map,deletion,remove,4
jfreechart,java.util.Map,search,containsKey,2
jfreechart,java.util.Set,insertion,add,6
jfreechart,java.util.Set,search,contains,4
jfreechart,java.util.Set,other,iterator,27
jfreechart,java.util.Set,other,size,5
jfreechart,java.util.Set,deletion,clear,3
jfreechart,java.util.Set,deletion,remove,1
